"","lhs","op","rhs","est","se","z","pvalue"
"1","CD","=~","CD1",1,0,NA,NA
"2","CD","=~","CD2",0.824215589087021,0.118347776071135,6.96435215302746,3.29918406810936e-12
"3","CD","=~","CD3",-0.263361335671364,0.145332106065821,-1.81213458471515,0.0699654036665957
"4","CD","=~","CD4",0.852029819858692,0.0980472111513446,8.68999546089596,3.62453970202403e-18
"5","CD","=~","CD5",-0.222277294221987,0.142442871346644,-1.56046625654618,0.118649738030708
"6","CR","=~","CR1",1,0,NA,NA
"7","CR","=~","CR2",1.08046415679487,0.157426548160949,6.86329065470093,6.72921125066048e-12
"8","CR","=~","CR3",1.14608231353918,0.161962941270708,7.0762009169962,1.48160011611065e-12
"9","CR","=~","CR4",0.00116201187069463,0.148978361321217,0.00779987013140232,0.993776667148444
"10","CR","=~","CR5",-0.388426093345088,0.188370704746706,-2.06203026031775,0.0392048551034989
"11","SP","=~","SP1",1,0,NA,NA
"12","SP","=~","SP2",0.059148386457008,0.104926143905142,0.563714478161715,0.572948462516348
"13","SP","=~","SP3",0.829692722471497,0.112847042651763,7.35236567104255,1.94729196182278e-13
"14","SP","=~","SP4",1.02141990283135,0.0937165188522274,10.8990380280976,1.16482236041684e-27
"15","SP","=~","SP5",0.762445918931305,0.119867542662231,6.36073704355284,2.00787928347851e-10
"16","CD1","~1","",0,0,NA,NA
"17","CD2","~1","",0.63654935453088,0.429109668409659,1.48341881200212,0.137963172362092
"18","CD3","~1","",3.76912214139055,0.527365681801396,7.14707511591546,8.864637588178e-13
"19","CD4","~1","",0.633004928486969,0.355763781712072,1.77928434828499,0.0751931556926445
"20","CD5","~1","",4.22754021393423,0.517038488716339,8.17645166886903,2.92324701438117e-16
"21","CR1","~1","",0,0,NA,NA
"22","CR2","~1","",-0.467037410293862,0.631386058175776,-0.739701810399875,0.459480949349371
"23","CR3","~1","",-0.768597312698671,0.649687711951077,-1.18302578078704,0.236798930155791
"24","CR4","~1","",3.94932324610329,0.5965341051987,6.62044837283496,3.58110972877937e-11
"25","CR5","~1","",4.52725848640473,0.75490923555039,5.99708981319323,2.00884969934877e-09
"26","SP1","~1","",0,0,NA,NA
"27","SP2","~1","",3.95902650351432,0.389282565936164,10.1700585896866,2.6974636394654e-24
"28","SP3","~1","",0.605245863216679,0.418452612055826,1.44639045325384,0.148067718015737
"29","SP4","~1","",0.0777231145531908,0.347434142721682,0.223706035176434,0.82298604956606
"30","SP5","~1","",0.751922965028746,0.444488286934636,1.6916597965141,0.0907108580998707
